itemid,label,category,adverse_effect_category,Column1
50971,Potassium,Chemistry,Hyperkalemia,
50822,Potassium, Whole Blood,Hyperkalemia,
50833,Potassium, Body Fluid,Hyperkalemia,
51097,Potassium, Urine,Hyperkalemia,
50912,Creatinine,Chemistry,Renal_insufficiency,
51082,Creatinine, Urine,Renal_insufficiency,
51021,Creatinine, Joint Fluid,Renal_insufficiency,
50841,Creatinine, Ascites,Renal_insufficiency,
51032,Creatinine, Body Fluid,Renal_insufficiency,
50920,Estimated GFR (MDRD equation),Chemistry,Renal_insufficiency,
51006,Urea Nitrogen (BUN),Chemistry,Renal_insufficiency,
50851,Urea Nitrogen, Ascites,Renal_insufficiency,
51045,Urea Nitrogen, Body Fluid,Renal_insufficiency,
51104,Urea Nitrogen, Urine,Renal_insufficiency,
50931,Glucose,Chemistry,Ketoacidosis,
50809,Glucose, Whole Blood,Ketoacidosis,
50842,Glucose, Ascites,Ketoacidosis,
51022,Glucose, Joint Fluid,Ketoacidosis,
51034,Glucose, Body Fluid,Ketoacidosis,
51084,Glucose, Urine,Ketoacidosis,
50882,Bicarbonate,Chemistry,Metabolic_acidosis,
50803,Calculated Bicarbonate, Whole Blood,Metabolic_acidosis,
50848,Bicarbonate, Pleural,Metabolic_acidosis,
51027,Bicarbonate, Other Fluid,Metabolic_acidosis,
51076,Bicarbonate, Urine,Metabolic_acidosis,
50804,Calculated Total CO2,Blood Gas,Metabolic_acidosis,
50820,pH,Blood Gas,Metabolic_acidosis,
50818,pCO2,Blood Gas,Metabolic_acidosis,
50821,pO2,Blood Gas,Metabolic_acidosis,
50983,Sodium,Chemistry,Electrolyte_disturbance,
50824,Sodium, Whole Blood,Electrolyte_disturbance,
50848,Sodium, Ascites,Electrolyte_disturbance,
51000,Sodium, Urine,Electrolyte_disturbance,
50970,Phosphate,Chemistry,Electrolyte_disturbance,
50960,Magnesium,Chemistry,Electrolyte_disturbance,
50993,Thyroid Stimulating Hormone,Chemistry,Bradycardia_ruleout,
